area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
105;3;Apartamento en Arriendo;799719c9-f519-4582-aad3-f49fcecbbcca;Estrato 6;Arriendo;2;3;5170000;Apartamento;POINT (-74.046 4.692);NoIdentificado;FALSO;-74,046;4,692;Localidad Usaquén
86;3;Apartamento en Arriendo;f8bf8e07-5be7-4e0d-a76c-f94bb2e3a1e8;Estrato 5;Arriendo;1;3;2200000;Apartamento;POINT (-74.06165899999999 4.700162199999999);Alhambra;FALSO;-74,061659;4,7001622;Localidad Suba
317;4;Apartamento en Arriendo;27df5635-bedd-4fc2-b723-8dd6f7425009;Estrato 6;Arriendo;3;4;9000000;Apartamento;POINT (-74.0262398 4.715383699999999);Bosques del Marques;FALSO;-74,0262398;4,7153837;Localidad Usaquén
235;4;Apartamento en Arriendo;79c1900e-a2cc-44a1-be4c-25ea1ecd6d0f;Estrato 6;Arriendo;2;3;7200000;Apartamento;POINT (-74.0442064 4.6702104);El refugio;FALSO;-74,0442064;4,6702104;Localidad Chapinero
71;2;Apartamento en Arriendo;8e487161-17c8-4e31-90b7-a2ced081034a;Estrato 4;Arriendo;2;2;3000000;Apartamento;POINT (-74.06 4.641);NoIdentificado;FALSO;-74,06;4,641;Localidad Chapinero
165;4;Apartamento en Arriendo;813253e2-e6f4-423e-813d-673a41501599;Estrato 6;Arriendo;2;3;10000000;Apartamento;POINT (-74.0439644 4.665570799999998);La cabrera;FALSO;-74,0439644;4,6655708;Localidad Chapinero
50;2;Apartamento en Arriendo;4e320d3f-4098-4d29-8a51-6b81eee30f2d;Estrato 4;Arriendo;0;2;2000000;Apartamento;POINT (-74.0543096 4.6441944);Chapinero Alto;FALSO;-74,0543096;4,6441944;Localidad Chapinero
98;3;Apartamento en Arriendo;07a09bf5-1a9a-46df-856e-22b1ce996633;Estrato 4;Arriendo;2;2;3100000;Apartamento;POINT (-74.0382289 4.7334234);NoIdentificado;FALSO;-74,0382289;4,7334234;Localidad Usaquén
183;3;Apartamento en Arriendo;ac6a6542-201d-45e6-acf6-58b3021c667c;Estrato 6;Arriendo;2;4;6650000;Apartamento;POINT (-74.042020440102 4.6775889366108);Zona chapinero;FALSO;-74,04202044;4,677588937;Localidad Chapinero
48;2;Apartamento en Arriendo;3e46d9f3-a6aa-4b06-b9aa-7a7dc7f6be54;Estrato 3;Arriendo;0;1;1200000;Apartamento;POINT (-74.1186826 4.5757502);Rafael uribe;FALSO;-74,1186826;4,5757502;Localidad Rafael Uribe Uribe
89;3;Apartamento en Arriendo;721feba6-32e8-46d1-88d3-e0a4c3e76584;Estrato 4;Arriendo;2;2;3400000;Apartamento;POINT (-74.0254917 4.705144199999999);NoIdentificado;FALSO;-74,0254917;4,7051442;Localidad Usaquén
80;3;Apartamento en Arriendo;fecee756-0dbf-42c4-8e75-aa84bdd3adb4;Estrato 3;Arriendo;1;2;2500000;Apartamento;POINT (-74.1447183 4.6490439);Castilla;FALSO;-74,1447183;4,6490439;Localidad Kennedy
57;1;Apartamento en Arriendo;c7ae70b5-489c-4fe9-ba76-601217d77cd9;Estrato 5;Arriendo;1;2;3400000;Apartamento;POINT (-74.05253503474476 4.688405914253209);Usaquen;FALSO;-74,05253503;4,688405914;Localidad Usaquén
122;3;Apartamento en Arriendo;9c737800-3fe5-4167-9393-f9d36c479d88;Estrato 5;Arriendo;2;2;3442300;Apartamento;POINT (-74.073 4.723);NoIdentificado;FALSO;-74,073;4,723;Localidad Suba
57;2;Apartamento en Arriendo;d7a2a188-278a-49df-a7c3-35b171da3435;Estrato 6;Arriendo;1;2;1550000;Apartamento;POINT (-74.054589271545 4.692045861363);Chicó Navarra;FALSO;-74,05458927;4,692045861;Localidad Usaquén
276;3;Apartamento en Arriendo;6fc5215f-2a81-4ef2-a5a0-0892bdde32e7;Estrato 6;Arriendo;3;5;12500000;Apartamento;POINT (-74.0328803 4.703336699999999);Usaquen;FALSO;-74,0328803;4,7033367;Localidad Usaquén
162;4;Apartamento en Arriendo;4b8cab18-852d-4f75-9f5b-bdabffeb3175;Estrato 4;Arriendo;2;3;3500000;Apartamento;POINT (-74.0579439 4.734853699999999);NoIdentificado;FALSO;-74,0579439;4,7348537;Localidad Suba
65;2;Apartamento en Arriendo;11f9c292-a57f-45c6-8462-3c0471f7a958;Estrato 6;Arriendo;2;2;2560000;Apartamento;POINT (-74.047 4.7);NoIdentificado;FALSO;-74,047;4,7;Localidad Usaquén
356;4;Apartamento en Arriendo;71d29030-a3c5-42eb-a139-058a505aacdb;Estrato 6;Arriendo;2;6;17000000;Apartamento;POINT (-74.055770701235 4.6882719785899);Usaquen;FALSO;-74,0557707;4,688271979;Localidad Usaquén
96;3;Apartamento en Arriendo;9b6a1cf0-fc6b-4b45-9e04-d55eae39642d;Estrato 6;Arriendo;2;2;6200000;Apartamento;POINT (-74.03 4.714);NoIdentificado;FALSO;-74,03;4,714;Localidad Usaquén
300;3;Apartamento en Arriendo;36f71e9f-b0f9-48c1-854c-7ffebb3eacba;Estrato 6;Arriendo;3;4;11272000;Apartamento;POINT (-74.056359983076 4.677269987146);Chico norte;FALSO;-74,05635998;4,677269987;Localidad Chapinero
35;1;Apartamento en Arriendo;dc5d81b3-8b62-4101-a89e-81e9fe9fbad6;Estrato 3;Arriendo;1;1;1500000;Apartamento;POINT (-74.0346809 4.7233269);NoIdentificado;FALSO;-74,0346809;4,7233269;Localidad Usaquén
42;2;Apartamento en Arriendo;5b91c96e-bd62-4b74-bdf1-fd6394b0c3e0;Estrato 4;Arriendo;0;2;2200000;Apartamento;POINT (-74.1260376 4.6593103);NoIdentificado;FALSO;-74,1260376;4,6593103;Localidad Fontibón
40;2;Apartamento en Arriendo;68e40ea4-703d-4a46-a707-d6105847e476;Estrato 3;Arriendo;0;2;900000;Apartamento;POINT (-74.1609174 4.5970606);NoIdentificado;FALSO;-74,1609174;4,5970606;Localidad Bosa
45;2;Apartamento en Arriendo;7f66fecc-4fe9-456b-a7ae-15b75d8752c1;Estrato 4;Arriendo;0;2;1530000;Apartamento;POINT (-74.1257375 4.6581108);NoIdentificado;FALSO;-74,1257375;4,6581108;Localidad Fontibón
68;3;Apartamento en Arriendo;d4961476-c0e5-41dd-817e-a9fdec053797;Estrato 4;Arriendo;1;2;2300000;Apartamento;POINT (-74.0504875 4.732208099999999);NoIdentificado;FALSO;-74,0504875;4,7322081;Localidad Suba
97;3;Apartamento en Arriendo;0e2012ac-0be7-4335-a475-d587c70ff178;Estrato 4;Arriendo;1;2;2900000;Apartamento;POINT (-74.0593413 4.739688);Mazuren;FALSO;-74,0593413;4,739688;Localidad Suba
46;1;Apartamento en Arriendo;fd81e2ba-cd24-4f6c-b2c6-b26d5cc67696;Estrato 3;Arriendo;0;1;1750000;Apartamento;POINT (-74.07521745899963 4.6063870105007485);Zona centro;FALSO;-74,07521746;4,606387011;Localidad Santa Fé
40;2;Apartamento en Arriendo;271c01fe-0ba9-47bf-ab72-47099c153bef;Estrato 3;Arriendo;0;1;1050000;Apartamento;POINT (-74.1485262 4.6709212);Fontibon;FALSO;-74,1485262;4,6709212;Localidad Fontibón
80;3;Apartamento en Arriendo;b5340502-5c35-44ce-9581-636eb68db260;Estrato 4;Arriendo;1;2;2850000;Apartamento;POINT (-74.0743339 4.6553619);NoIdentificado;FALSO;-74,0743339;4,6553619;Localidad Barrios Unidos
132;3;Apartamento en Arriendo;ea3232fb-940c-4796-8756-b85b0ead40d9;Estrato 3;Arriendo;0;2;2100000;Apartamento;POINT (-74.1477139 4.621714799999999);NoIdentificado;FALSO;-74,1477139;4,6217148;Localidad Kennedy
55;3;Apartamento en Arriendo;672ca82b-7c2c-42a8-810b-a2ef57c0c301;Estrato 3;Arriendo;0;2;1000000;Apartamento;POINT (-74.15136559999999 4.6773456);Fontibon;FALSO;-74,1513656;4,6773456;Localidad Fontibón
68;3;Apartamento en Arriendo;599303a8-ffbe-48bd-9533-a80db89b605f;Estrato 4;Arriendo;1;2;2684600;Apartamento;POINT (-74.11329890944215 4.656230332300886);NoIdentificado;FALSO;-74,11329891;4,656230332;Localidad Fontibón
95;3;Apartamento en Arriendo;405d7917-628b-4e1e-911c-d70a82c89af1;Estrato 4;Arriendo;2;3;2300000;Apartamento;POINT (-74.03712689999999 4.721528999999999);Cedritos;FALSO;-74,0371269;4,721529;Localidad Usaquén
56;3;Apartamento en Arriendo;64861045-f65e-465e-ae17-6fa5574ad747;Estrato 5;Arriendo;0;2;1625000;Apartamento;POINT (-74.0774459 4.7130126);NoIdentificado;FALSO;-74,0774459;4,7130126;Localidad Suba
76;2;Apartamento en Arriendo;9f457b62-14d7-4ac8-972f-73803d0a8927;Estrato 4;Arriendo;1;2;1750000;Apartamento;POINT (-74.0669826 4.690225);NoIdentificado;FALSO;-74,0669826;4,690225;Localidad Suba
53;3;Apartamento en Arriendo;f8c024ab-e27b-4939-9e44-3b882eeecda4;Estrato 3;Arriendo;0;1;1300000;Apartamento;POINT (-74.029709100723 4.7591244124954);El rocio norte;FALSO;-74,0297091;4,759124412;Localidad Usaquén
65;2;Apartamento en Arriendo;ffb258a8-72d6-4d75-ac60-07b277ea15bb;Estrato 3;Arriendo;1;1;1400000;Apartamento;POINT (-74.068 4.724);Ciudad jardin norte;FALSO;-74,068;4,724;Localidad Suba
70;2;Apartamento en Arriendo;1e235fca-ab16-46ba-b805-7810ca1ec2a4;Estrato 5;Arriendo;1;2;2850000;Apartamento;POINT (-74.05093730000002 4.704275900000001);NoIdentificado;FALSO;-74,0509373;4,7042759;Localidad Usaquén
248;4;Apartamento en Arriendo;e6a245d7-2bbe-4864-8f41-de9efd58692e;Estrato 6;Arriendo;3;3;20000000;Apartamento;POINT (-74.042961 4.670688);NoIdentificado;FALSO;-74,042961;4,670688;Localidad Chapinero
80;3;Apartamento en Arriendo;c70b0966-7be5-46a9-8f92-e959acb1b0f4;Estrato 4;Arriendo;1;2;1641000;Apartamento;POINT (-74.0544766 4.7317021);Victoria norte;FALSO;-74,0544766;4,7317021;Localidad Suba
68;1;Apartamento en Arriendo;9fb2874c-aeee-4452-b151-542a21e42d6c;Estrato 4;Arriendo;1;2;4000000;Apartamento;POINT (-74.05900969999999 4.6501156);Chapinero Alto;FALSO;-74,0590097;4,6501156;Localidad Chapinero
56;1;Apartamento en Arriendo;f5dea801-9293-4135-86c0-f1c2f9ede907;Estrato 4;Arriendo;1;2;2600000;Apartamento;POINT (-74.126244 4.6580092);NoIdentificado;FALSO;-74,126244;4,6580092;Localidad Fontibón
110;1;Apartamento en Arriendo;8557f72d-d386-422e-9b17-a516e4940db2;Estrato 4;Arriendo;0;2;2850000;Apartamento;POINT (-74.0576881 4.6392364);NoIdentificado;FALSO;-74,0576881;4,6392364;Localidad Chapinero
30;1;Apartamento en Arriendo;f188bcd6-b8f9-4a37-ae22-b3966ec3aa7c;Estrato 5;Arriendo;0;2;1592000;Apartamento;POINT (-74.0491294 4.7232346);NoIdentificado;FALSO;-74,0491294;4,7232346;Localidad Usaquén
87;3;Apartamento en Arriendo;4d00bcf8-0992-45dd-a5af-0f623a1ba7ba;Estrato 3;Arriendo;0;2;2160000;Apartamento;POINT (-74.1349836 4.723625300000001);NoIdentificado;FALSO;-74,1349836;4,7236253;Localidad Engativá
20;1;Apartamento en Arriendo;20fe5542-9788-425a-b0b6-57b46c3d0621;Estrato 4;Arriendo;0;2;1800000;Apartamento;POINT (-74.0661855 4.6423913);NoIdentificado;FALSO;-74,0661855;4,6423913;Localidad Teusaquillo
80;2;Apartamento en Arriendo;e0221f05-e174-42c0-b89c-e7818e7fe6f3;Estrato 5;Arriendo;1;2;3400000;Apartamento;POINT (-74.0358518 4.6961814);NoIdentificado;FALSO;-74,0358518;4,6961814;Localidad Usaquén
39;1;Apartamento en Arriendo;4ca653f4-780f-4aed-9e48-b3be7859fd0a;Estrato 4;Arriendo;0;1;1600000;Apartamento;POINT (-74.061005115509 4.7175586085483);Suba;FALSO;-74,06100512;4,717558609;Localidad Suba
28;1;Apartamento en Arriendo;16b16c2f-7549-4552-86b4-35d2afc77ec7;Estrato 3;Arriendo;0;1;1661400;Apartamento;POINT (-74.08919929999999 4.596240299999999);Las aguas;FALSO;-74,0891993;4,5962403;Localidad Los Mártires
90;3;Apartamento en Arriendo;bb1708c1-f179-4286-a44c-eac3caec7afc;Estrato 4;Arriendo;2;2;2500000;Apartamento;POINT (-74.067212 4.753992299999999);Portales del norte;FALSO;-74,067212;4,7539923;Localidad Suba
130;3;Apartamento en Arriendo;a15d6863-114f-4134-9293-29bb00af8da9;Estrato 5;Arriendo;2;3;4600000;Apartamento;POINT (-74.042204 4.7044919);NoIdentificado;FALSO;-74,042204;4,7044919;Localidad Usaquén
175;2;Apartamento en Arriendo;a77eb196-2cfb-4bae-89fc-60edc95333df;Estrato 6;Arriendo;2;4;10000000;Apartamento;POINT (-74.052754904202 4.6525309983186);Zona chapinero;FALSO;-74,0527549;4,652530998;Localidad Chapinero
130;3;Apartamento en Arriendo;75880d26-b737-47a3-8907-3f213178be5a;Estrato 5;Arriendo;2;3;4500000;Apartamento;POINT (-74.0398393 4.700722799999999);NoIdentificado;FALSO;-74,0398393;4,7007228;Localidad Usaquén
117;3;Apartamento en Arriendo;dd524089-6583-453e-a444-a687c9041d7a;Estrato 6;Arriendo;2;3;7000000;Apartamento;POINT (-74.05675539999999 4.6750907);El Virrey;FALSO;-74,0567554;4,6750907;Localidad Chapinero
114;3;Apartamento en Arriendo;d7db0795-9835-47da-9281-d64225b0ae71;Estrato 5;Arriendo;0;2;2840000;Apartamento;POINT (-74.08258660000001 4.6473566);NoIdentificado;FALSO;-74,0825866;4,6473566;Localidad Teusaquillo
40;2;Apartamento en Arriendo;5f93038b-6776-4aee-b5d7-bcf1b3257aa1;Estrato 3;Arriendo;0;1;1100000;Apartamento;POINT (-74.1605854 4.6002616);NoIdentificado;FALSO;-74,1605854;4,6002616;Localidad Bosa
215;3;Apartamento en Arriendo;21619de9-c794-469d-abe2-ad3e042d0dd7;Estrato 6;Arriendo;2;2;10000000;Apartamento;POINT (-74.046858 4.661321);NoIdentificado;FALSO;-74,046858;4,661321;Localidad Chapinero
