OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1,76892,76892025,VALLE DEL CAUCA,YUMBO,YUMBILLO,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,961.15855258,76,9695814.710038,16128.9358062845
2,76892,76892001,VALLE DEL CAUCA,YUMBO,ALTO DAPA,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,284.01196738,76,2864848.29445837,8041.89095876543
3,76892,76892012,VALLE DEL CAUCA,YUMBO,MIRAVALLE DAPA,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,384.17024647,76,3875224.37084934,11502.5026742078
4,76892,76892011,VALLE DEL CAUCA,YUMBO,MEDIO DAPA,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,459.90371588,76,4639118.39128195,14219.5264135986
5,76892,76892018,VALLE DEL CAUCA,YUMBO,RINCON DAPA,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,1817.3725393,76,18330809.1001604,21533.3615199764
6,76892,76892017,VALLE DEL CAUCA,YUMBO,PLATANARES,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,975.79758276,76,9844957.80150885,16156.5266394379
7,76892,76892023,VALLE DEL CAUCA,YUMBO,TELECOM,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,343.46260551,76,3465201.59146036,11633.6548732465
8,76892,76892004,VALLE DEL CAUCA,YUMBO,EL CHOCHO,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,304.67526722,76,3073781.13716783,8252.01172963432
9,76892,76892022,VALLE DEL CAUCA,YUMBO,SANTA INES,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,1235.44694169,76,12463814.7667878,20146.1045695707
10,76892,76892016,VALLE DEL CAUCA,YUMBO,PILAS DE DAPA,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,149.87969338,76,1511790.44243683,5903.08573719177
11,76892,76892009,VALLE DEL CAUCA,YUMBO,LA OLGA,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,323.78632582,76,3265685.402741,8900.22368895812
12,76892,76892006,VALLE DEL CAUCA,YUMBO,EL PEDREGAL,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,360.97470074,76,3640782.79379165,10824.8023222284
13,76892,76892024,VALLE DEL CAUCA,YUMBO,XIXAOLA,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,157.1299702,76,1584813.97575753,6220.63703987331
14,76892,76892010,VALLE DEL CAUCA,YUMBO,MANGA VIEJA,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,1187.77601364,76,11984636.7238245,19772.1102133084
15,76892,76892007,VALLE DEL CAUCA,YUMBO,EL PLACER,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,463.24553432,76,4673820.65776942,14242.9534254354
16,76892,76892015,VALLE DEL CAUCA,YUMBO,PASO DE LA TORRE,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,180.43266457,76,1820506.16111558,6441.79718067641
17,76892,76892013,VALLE DEL CAUCA,YUMBO,MIRAVALLE NORTE,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,269.84771046,76,2723069.32813191,8650.82954725812
18,76892,76892021,VALLE DEL CAUCA,YUMBO,SAN MARCOS,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,3210.6199391,76,32397078.9341966,37314.3523488624
19,76892,76892020,VALLE DEL CAUCA,YUMBO,SAN JOSE,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,321.57499924,76,3244787.73462861,8992.42374964414
20,76892,76892014,VALLE DEL CAUCA,YUMBO,MONTAÑITAS,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,618.02429176,76,6235689.95983922,13321.7397350656
21,76892,76892019,VALLE DEL CAUCA,YUMBO,SALAZAR,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,494.9753539,76,4993294.02955986,10001.2736472307
22,76890,76890027,VALLE DEL CAUCA,YOTOCO,PUENTETIERRA,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,945.94407466,76,9549918.89483538,19033.2699638517
23,76890,76890025,VALLE DEL CAUCA,YOTOCO,MUÑECOS,2010,POT YOTOCO,NULL,NULL,508.41220445,76,5132576.43071606,15086.82851172
24,76890,76890013,VALLE DEL CAUCA,YOTOCO,EL JARDIN,2010,POT YOTOCO,NULL,NULL,481.72932232,76,4864053.66179636,12374.3761110375
25,76890,76890006,VALLE DEL CAUCA,YOTOCO,EL BOSQUE,2010,POT YOTOCO,NULL,NULL,1309.85660367,76,13228711.7425428,25160.034557195
26,76890,76890030,VALLE DEL CAUCA,YOTOCO,SAN ANTONIO DE PIEDRAS,2010,POT YOTOCO,NULL,NULL,2339.36053833,76,23629066.1902157,42058.8202944885
27,76890,76890014,VALLE DEL CAUCA,YOTOCO,GURUNGURU,2010,POT YOTOCO,NULL,NULL,23.51686621,76,237560.52362128,2994.51631566509
28,76890,76890010,VALLE DEL CAUCA,YOTOCO,EL DORADO,2010,POT YOTOCO,NULL,NULL,1325.19449129,76,13377377.6234081,21973.8552280462
29,76890,76890004,VALLE DEL CAUCA,YOTOCO,CORDOBITAS,2010,POT YOTOCO,NULL,NULL,568.74435259,76,5741453.91000473,12823.1126905857
30,76890,76890028,VALLE DEL CAUCA,YOTOCO,PUNTABRAVA,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,73.3094224,76,740228.947635515,5492.20204721427
31,76890,76890021,VALLE DEL CAUCA,YOTOCO,LOS CHORROS,2010,POT YOTOCO,NULL,NULL,242.46221751,76,2448138.28642479,8200.74188322507
32,76890,76890008,VALLE DEL CAUCA,YOTOCO,EL CHOCHO,2010,POT YOTOCO,NULL,NULL,355.03324369,76,3584833.0770789,9430.0561022072
33,76890,76890016,VALLE DEL CAUCA,YOTOCO,JIGUALES,2010,POT YOTOCO,NULL,NULL,850.31727424,76,8585307.2151216,15713.938289263
34,76890,76890022,VALLE DEL CAUCA,YOTOCO,LOS PLANES,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,465.33703151,76,4698731.28261517,9520.64392217201
35,76890,76890005,VALLE DEL CAUCA,YOTOCO,DOPO,2010,POT YOTOCO,NULL,NULL,554.10385427,76,5595230.57885049,14313.4861840198
36,76890,76890007,VALLE DEL CAUCA,YOTOCO,EL CANEY,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,524.64598041,76,5297619.4607087,10169.9672314994
37,76890,76890019,VALLE DEL CAUCA,YOTOCO,LAS DELICIAS,2010,POT YOTOCO,NULL,NULL,74.65165122,76,753840.04681865,4236.58660003997
38,76890,76890009,VALLE DEL CAUCA,YOTOCO,EL DELIRIO,2010,POT YOTOCO,NULL,NULL,275.77413959,76,2784879.46144649,11073.8150886898
39,76890,76890017,VALLE DEL CAUCA,YOTOCO,LA COLONIA,2010,POT YOTOCO,NULL,NULL,225.11843567,76,2273245.83935382,6620.37208738166
40,76890,76890031,VALLE DEL CAUCA,YOTOCO,SAN JUAN,2010,POT YOTOCO,"SE REDUCE EL 50% DE SUAREA INICIAL, CON CP",NULL,267.89557695,76,2705244.51223217,8743.97218176584
41,76890,76890018,VALLE DEL CAUCA,YOTOCO,LA NEGRA,2010,POT YOTOCO,NULL,NULL,3601.31961867,76,36369817.4549187,40895.2274464208
42,76892,76892008,VALLE DEL CAUCA,YUMBO,LA BUITRERA,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,497.55061924,76,5019262.99116716,11732.1829771637
43,76892,76892005,VALLE DEL CAUCA,YUMBO,EL HIGUERON,2010,PBOT YUMBO - VALLE DEL CAUCA,NULL,NULL,604.71492315,76,6100690.55441005,12601.5603317254
44,76892,76892002,VALLE DEL CAUCA,YUMBO,ARROYOHONDO,2010,PBOT YUMBO - VALLE DEL CAUCA,"REDUCE EL 60% DE SU AREA POR CABECERA, CON CP",NULL,2705.44978467,76,27289970.0960772,32580.4333391798
45,76892,76892003,VALLE DEL CAUCA,YUMBO,BERMEJAL,2010,PBOT YUMBO - VALLE DEL CAUCA,VEREDA CON CENTRO POBLADO,NULL,1945.7611899,76,19630801.4115022,27846.5292656376
46,76890,76890012,VALLE DEL CAUCA,YOTOCO,EL GUABAL,2010,POT YOTOCO,NULL,NULL,1770.42128285,76,17869146.7697748,19451.4899659796
47,76890,76890011,VALLE DEL CAUCA,YOTOCO,EL ESPINAL,2010,POT YOTOCO,NULL,NULL,1750.81959141,76,17673238.4512698,25615.2193617647
48,76890,76890001,VALLE DEL CAUCA,YOTOCO,BUENOSAIRES,2010,POT YOTOCO,NULL,NULL,360.90036923,76,3643371.36670123,10303.7516229917
49,11001,11001061,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",TAQUECITOS,2003,POT BOGOTA,NULL,NULL,4325.56455263,11,43776073.777929,32763.0815602291
50,18205,18205034,CAQUETÁ,CURILLO,SALAMINA,2008,CATASTRO IGAC,NULL,NULL,4856.91843727,18,48860948.5382185,43702.2372314694
51,76890,76890026,VALLE DEL CAUCA,YOTOCO,PIEDRAS,2010,POT YOTOCO,NULL,NULL,1631.65083255,76,16481273.1984145,22862.1308452667
52,76890,76890020,VALLE DEL CAUCA,YOTOCO,LETICIA,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,490.19561144,76,4951905.08290298,14814.4645335277
53,76890,76890024,VALLE DEL CAUCA,YOTOCO,MIRAVALLE,2010,POT YOTOCO,NULL,NULL,520.90593742,76,5260615.55481382,16039.0079587938
54,76890,76890015,VALLE DEL CAUCA,YOTOCO,HATOVIEJO,2010,POT YOTOCO,NULL,NULL,4646.08231989,76,46901401.3620662,50258.0836511297
55,76890,76890023,VALLE DEL CAUCA,YOTOCO,MEDIACANOA,2010,POT YOTOCO,VEREDA CON CENTRO POBLADO,NULL,4623.3763585,76,46681936.1187693,62464.5507874757
56,76869,76869010,VALLE DEL CAUCA,VIJES,VILLA MARIA,2011,POT,NULL,NULL,1613.29462957,76,16280591.0258427,22539.2844445985
57,76869,76869003,VALLE DEL CAUCA,VIJES,EL PORVENIR,2011,POT,NULL,NULL,1125.77353771,76,11363589.505616,15319.4383308923
58,76869,76869002,VALLE DEL CAUCA,VIJES,CARBONERO,2011,POT,NULL,NULL,1888.70816037,76,19061361.737224,20089.1055871254
59,76869,76869008,VALLE DEL CAUCA,VIJES,OCACHE,2011,POT,NULL,NULL,847.61587219,76,8553334.55940913,14553.3602415958
60,76869,76869009,VALLE DEL CAUCA,VIJES,SAN ISIDRO,2011,POT,NULL,NULL,1017.99138316,76,10273677.8618383,23594.2733534541
61,76606,76606018,VALLE DEL CAUCA,RESTREPO,MOZAMBIQUE,2011,POT,NULL,NULL,1355.47298343,76,13678812.2870654,16441.006152499
62,19137,19137083,CAUCA,CALDONO,VILLA RICA,2010,POT,NULL,NULL,321.34367289,19,3237656.87823618,8882.8498268296
63,19137,19137069,CAUCA,CALDONO,SAN ANTONIO LA,2010,POT,NULL,NULL,204.70864491,19,2062476.09033938,7621.31868705267
64,11001,11001058,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",SANTO DOMINGO,2003,POT BOGOTA,NULL,NULL,1034.61798776,11,10466096.4069998,14926.7900477459
65,11001,11001008,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",CONCEPCION,2003,POT BOGOTA,NULL,NULL,1846.55594835,11,18675688.85573,22204.0186466064
66,76869,76869001,VALLE DEL CAUCA,VIJES,CACHIMBAL,2011,POT,VEREDA CON CENTRO POBLADO,NULL,1181.60318754,76,11926182.5021164,19162.0848332158
67,76869,76869004,VALLE DEL CAUCA,VIJES,EL TAMBOR,2011,POT,VEREDA CON CENTRO POBLADO,NULL,889.9531716,76,8981710.48794651,15548.0400516458
68,76869,76869007,VALLE DEL CAUCA,VIJES,MOZAMBIQUE,2011,POT,NULL,NULL,1011.82001705,76,10210895.2267954,15675.8997238207
